Ajuntament de Barcelona;2018;Programa de Subvencions per a l Impuls socioeconomic del territo;ARTESANIA DIGITAL;263000
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 2n  pagament;22065
Ajuntament de Barcelona;2017;SUBVENCIONS DIRECTES amb o sense CONVENI;CAMPANYA FINANC  PROJEC  EMPRENEDORIA MATCHFUNDING;1360000
Ajuntament de Barcelona;2017;Subvencions per a activitats i projectes en l ambit economia coo;Posant en valor l economia social a goteo punt org;94000
Institut de Cultura de Barcelona;2017;SUBVENCIONS PER A INVERSIONS TIC PER A PROJ  D EXPERIMENTACIO I;Reforcant el canal GOTEO Barcelona;314833
Institut de Cultura de Barcelona;2018;Subvencions per a inversions en tecnologies de la informacio i l;Modulo comunicacion Crowd;665795
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 2n  pagament;285675
Ajuntament de Barcelona;2012;Expedient organ gestor Qualitat de Vida Igualtat i Esports;TRES A  AUTOCURA ACTIVITAT FISICA I AUTONOMIA PERSONAL PER LES PERSONES G;74450
Ajuntament de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  GERENCIA DE DRETS SOCI;Taller families cuidadores dependents;50000
Ajuntament de Barcelona;2014;Convocatoria de subvencions 2014 Gerencia de Qualitat de Vida;PROJECTE PILOT  FENT ENVILLIMENT ACTIU EN XARXA ;60000
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  DRETS SOCIALS;TALLERS  SENTIR NOS BE ;92500
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  DRETS SOCIALS;TALLERS PER A FAMILIARS CUIDADORS/ES DE PERSONES EN SITUACIO DE DEPENDENCIA;75000
Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  DRETS SOCIALS;Compartir records de futbol;60000
Institut de Cultura de Barcelona;2022;Sales de Musica;Acondicionamiento Climatico Espai QWERTY;500000
Ajuntament de Barcelona;2014;SUBVENCIONS DIRECTES amb o sense CONVENI;Conveni col laboracio Plataforma CTI;100000
Ajuntament de Barcelona;2014;SUBVENCIONS DIRECTES amb o sense CONVENI;Conveni amb ACUP projecte GUNI;300000
